lemma;id;part_of_speech;forms
прилежати;120277;verb;sg., pres., part., act., f., nom., weak, infl.:прилежащия|sg., pres., part., act., f., nom., strong, infl.:прилежащи|pl., pres., part., act., m., dat., weak, infl.:прилежащимъ|3rd p., sg., aor., ind., act., infl.:прилежа,прилѣжа|3rd p., sg., imperf., ind., act., infl.:прилежаше|2nd p., sg., pres., imp., act., infl.:прилежи|sg., result., part., act., m., nom., strong, infl.:прилѣжал,прилѣжалъ|sg., pres., part., act., n., dat., strong, infl.:прилежащю
и;120278;adverb;non-infl.:и,ї,і,ι,ꙇ
старъ;120281;adjective;sg., m., nom., comp., weak, infl.:старѣишии
островъ;120282;common noun;sg., m., acc., infl.:ѡстровъ,островъ|pl., m., acc., infl.:ѡстровы|sg., m., loc., infl.:ѡстровѣ,островѣ,ѡстровꙋ|sg., m., nom., infl.:островъ|sg., m., gen., infl.:острова
западъ;120283;common noun;sg., m., dat., infl.:западу|sg., m., gen., infl.:запада|sg., m., acc., infl.:западъ,запад|sg., m., loc., infl.:западѣ
нарицати;120288;verb;sg., pres., part., pass., f., acc., weak, infl.:нарицаемую|3rd p., pl., imperf., ind., act., infl.:нарицаху|sg., pres., part., pass., m., dat., weak, infl.:нарицаемому|pl., pres., part., act., m., nom., strong, infl.:наричюще,нарицѧюще|sg., pres., part., pass., m., loc., weak, infl.:нарѣцаѥмѣмъ|sg., pres., part., pass., n., nom., weak, infl.:наричемое|3rd p., sg., pres., ind., act., infl.:нарицаеть|pl., pres., part., act., m., loc., strong, infl.:нарицающих|sg., pres., part., pass., m., nom., strong, infl.:нарицаѥмы|3rd p., pl., pres., ind., act., infl.:нарицають|sg., pres., part., pass., m., nom., weak, infl.:нарицаѥмыи|sg., pres., part., act., m., nom., strong, infl.:нарицѧꙗ
гора;120289;common noun;pl., f., nom., infl.:горы|pl., f., dat., infl.:горамъ,гора,горам|pl., f., ins., infl.:горами|pl., f., acc., infl.:горы|pl., f., loc., infl.:горах,горохъ,горахъ|sg., f., gen., infl.:горы,горъ|sg., f., loc., infl.:горѣ,гогорѣ|sg., f., acc., infl.:гору,горѹ,горꙋ|sg., f., ins., infl.:горою|pl., f., gen., infl.:горъ,горь|sg., f., nom., infl.:гора|sg., f., dat., infl.:горѣ
иже;120291;relative pronoun;sg., f., gen., infl.:неяже,еяже,ѥꙗже|sg., f., nom., infl.:яже,иже,Яже,ꙗже|sg., n., nom., infl.:еже,ѥже,Еже,ѥ же,єж|sg., n., gen., infl.:негоже,ѥгоже,Егоже,ѥго же|sg., n., acc., infl.:неже,еже,ѥже,оже,не же,єж,єже|sg., n., dat., infl.:немуже,емуже,ѥмѹ же|pl., m., gen., infl.:нихже,нихъ же,ихже,ихъже,нїхже,ихʼ же|pl., m., nom., infl.:иже,Иже,яже,иж|pl., m., loc., infl.:нихъже,нихъ же,нихже,них же|sg., m., nom., infl.:иже,Иже,ИЖЕ,ꙇже|pl., m., acc., infl.:яже,нѧже,иже,ѧже|sg., f., acc., infl.:юже,нюже,Юже,юж,ню же|sg., f., loc., infl.:неи же,неиже,неиж|pl., n., nom., infl.:яже,ꙗже|sg., m., gen., infl.:негоже,егоже,ѥгоже,его же,его ж,егож|sg., m., loc., infl.:немже,немьже|sg., m., dat., infl.:емуже,ему же,ѥмуже,ѡмуже,ѥмѹже|sg., n., ins., infl.:имьже|du., f., gen., infl.:неюже|pl., n., acc., infl.:яже,ꙗже|pl., m., dat., infl.:имъже,имже,имʼ же|pl., n., gen., infl.:ихъже,ꙇхже|du., m., gen., infl.:еюже|du., m., nom., infl.:яже|pl., f., ins., infl.:имиже,имъж|pl., f., nom., infl.:яже|sg., m., ins., infl.:имьже,ιм же|du., f., nom., infl.:иже|sg., m., acc., infl.:яже,иже|pl., f., dat., infl.:имже,имъже|sg., f., ins., infl.:ѥюже|sg., n., loc., infl.:нем же,немьже,нѥмьже|pl., f., gen., infl.:их же,ихъже|pl., n., ins., infl.:имиж
симовъ;120292;adjective;sg., f., acc., pos., strong, infl.:симову|sg., m., gen., pos., strong, infl.:симова|pl., m., nom., pos., strong, infl.:симови|sg., m., acc., pos., strong, infl.:симовъ
вьсь;120293;indefinite pronoun;pl., m., acc., infl.:всѧ,всѣ,все,вси,въсѧ,вс-,всꙗ,вьсꙗ,вся,вьсѧ|pl., m., nom., infl.:вси,вьси,всѣ,все|sg., f., dat., infl.:всеи,всей,вьсеи|pl., n., acc., infl.:всѧ,все,вса,вьсѧ,вьсꙗ,всꙗ,всѣ,вся|sg., n., acc., infl.:все,вьсе,всѣ|pl., f., nom., infl.:вси,всѣ,все|sg., f., acc., infl.:всю,вьсю,въсю,вхѹ|sg., n., nom., infl.:все,вьсе,всѣ,Все,вс|pl., m., loc., infl.:всѣхъ,всѣх,всхѣ,вьсѣхъ|sg., f., nom., infl.:всѧ,вся,вьсꙗ,вьсѧ|pl., m., ins., infl.:всѣми,вьсѣми,всеми,всемї|pl., f., acc., infl.:всѧ,вьсꙗ,всѣ,вся,всꙗ,вьсѣ,вьсѧ,вси|sg., m., acc., infl.:весь,вьсь,весъ,вес,всь|pl., m., dat., infl.:всѣмъ,всѣм,вьсѣмъ,всемъ,всем,всѣмʼ|pl., m., gen., infl.:всѣхъ,всѣх,все,всхѣ,всех,всехъ,вьсѣхъ,всѣхʼ|sg., n., ins., infl.:всѣмь,всѣмъ,всѣм,всем,вьсѣмь|sg., m., nom., infl.:весь,вьсь,вес|sg., n., loc., infl.:всемь,всем,вьсемь,всемъ,всѣмъ,всѣмь|pl., f., dat., infl.:всѣмъ,всѣм,вьсѣмъ|pl., n., nom., infl.:всѧ,всꙗ,Всѧ,всѣ,вся,вьсꙗ,вьсѧ|pl., n., gen., infl.:всѣх,всѣхъ,всхѣ,вьсѣхъ|pl., f., gen., infl.:всѣх,всѣхъ,всхѣ,всехъ,вьсѣхъ|sg., m., gen., infl.:всего,всѣх,вьсего,всѧго|pl., n., ins., infl.:всѣми|pl., f., loc., infl.:всѣх,всех,всѣхъ|sg., n., gen., infl.:всего,всево,вево,вьсего|sg., m., dat., infl.:всему,всѧмѹ,всемѹ,въсемѹ,всемꙋ|pl., n., loc., infl.:всѣх,всехъ,вьсѣхъ,всѣхъ|sg., f., gen., infl.:всее,всея,всхѣ,всеа,всеѧ,всѣѧ,всеꙗ,вьсеꙗ|sg., f., loc., infl.:всеи,все и|sg., f., ins., infl.:всею,вьсею|sg., n., dat., infl.:всему,всѧмѹ,всемѹ,всѣмѹ,всемꙋ|sg., m., ins., infl.:всѣм,всем,всѣмъ|sg., m., loc., infl.:всемъ,вьсемь,всемь|pl., n., dat., infl.:всѣмъ,вьсѣмъ|pl., f., ins., infl.:вьсѣми,всѣми
