lemma;id;part_of_speech;forms
доблии;131667;adjective;du., m., nom., pos., weak, infl.:доблѧя|sg., m., nom., pos., strong, infl.:добль|sg., m., gen., pos., weak, infl.:доблꙗаго
страстьникъ;131668;common noun;du., m., nom., infl.:стрстьника
възвысити;131669;verb;sg., result., part., act., f., nom., strong, infl.:възвысила|3rd p., sg., aor., ind., act., infl.:възвыси|sg., past, part., act., m., acc., strong, infl.:възвышь
свѣтоносьныи;131670;adjective;sg., f., nom., pos., weak, infl.:свѣтоносная
разумьныи;131671;adjective;sg., m., acc., pos., weak, infl.:разумныи|sg., m., gen., pos., strong, infl.:разумна|sg., m., nom., pos., strong, infl.:разѹмьнъ|pl., m., gen., pos., weak, infl.:разѹмныхъ|sg., n., nom., pos., strong, infl.:разумно
капля;131672;common noun;pl., f., ins., infl.:каплѧми|pl., f., acc., infl.:каплѧ,капли|sg., f., acc., infl.:каплю
кровьныи;131673;adjective;pl., f., ins., pos., weak, infl.:кровными
багъряница;131674;common noun;sg., f., acc., infl.:багрѧницю|sg., f., nom., infl.:багрꙗница,багърѧницѧ
съродьникъ;131676;common noun;pl., m., acc., infl.:сродникы|pl., m., dat., infl.:сродником|sg., m., gen., infl.:съродника|pl., m., loc., infl.:сроднїкехъ|pl., m., nom., infl.:сродницы,сродники
ва;131677;personal pronoun;2nd p., du., m., gen., infl.:ваю|2nd p., du., m., dat., infl.:вама|2nd p., du., m., ins., infl.:вама|2nd p., du., m., acc., infl.:ва
въсходити;131678;verb;du., pres., part., act., f., nom., weak, infl.:въсходѧщии|sg., pres., part., act., n., dat., strong, infl.:въсходѧщю,въсходꙗщю|sg., pres., part., act., f., nom., strong, infl.:въсходѧщи|3rd p., pl., pres., ind., act., infl.:всходѧть|pl., pres., part., act., f., gen., weak, infl.:восходящих|pl., pres., part., act., f., dat., strong, infl.:въсходꙗщемъ
мирьно;131679;adverb;non-infl.:мирно,Мирно,мирьно|pos., infl.:мирно
съдравие;131680;common noun;sg., n., loc., infl.:сдравии
усобьныи;131681;adjective;sg., f., gen., pos., weak, infl.:оусобныя|sg., f., nom., pos., weak, infl.:оусобная
пронырьство;131682;common noun;sg., n., gen., infl.:пронырьства|sg., n., acc., infl.:пронырьство
почитати;131683;verb;pl., pres., part., act., m., gen., weak, infl.:почитающих|sg., pres., part., act., m., nom., strong, infl.:почитая|sg., pres., part., act., f., nom., strong, infl.:почитая|pres., inf., act., infl.:почитати|2nd p., sg., pres., imp., act., infl.:почитаи,почитай|pl., pres., part., pass., m., nom., strong, infl.:почитаеми|sg., pres., part., pass., m., nom., strong, infl.:почитаемъ|1st p., pl., pres., ind., act., infl.:почитаем|3rd p., sg., pres., ind., act., infl.:почитает|pl., pres., part., act., m., dat., weak, infl.:почитающимъ|pl., pres., part., act., m., nom., strong, infl.:почитающе|sg., pres., part., act., m., gen., strong, infl.:почитающа
съконьчание;131684;common noun;sg., n., gen., infl.:скончанья·:-|sg., n., nom., infl.:скончанїе
зълыи;131685;common noun;sg., m., nom., infl.:злыи
помышляти;131686;verb;pres., inf., act., infl.:помышлѧти|3rd p., sg., imperf., ind., act., infl.:помышлѧше,помышлꙗше,помышлꙗаше,помышлꙗшеть|1st p., sg., pres., ind., act., infl.:помышлѧю,помышлаю,помышляю|sg., pres., part., act., m., nom., strong, infl.:помышлѧя,помышлꙗѧ,помышлѧꙗ|3rd p., sg., pres., ind., act., infl.:помышлꙗеть,помышлꙗть|1st p., pl., pres., ind., act., infl.:помышлѧемъ|sg., pres., part., act., m., dat., strong, infl.:помышлѧющꙋ|pl., pres., part., act., m., nom., strong, infl.:помышлѧюще
высокоумие;131687;common noun;sg., n., ins., infl.:высокооумъемь
управити;131688;verb;3rd p., sg., pres., ind., act., infl.:оуправит|pl., past, part., act., m., nom., strong, infl.:оуправивъше|pres., inf., act., infl.:оуправити,ѹправити|sg., pres., part., act., m., nom., strong, infl.:оуправа|2nd p., sg., pres., imp., act., infl.:оуправъ,управи|sg., result., part., act., m., nom., strong, infl.:управил|pl., result., part., act., m., nom., strong, infl.:ѹправили|sg., past, part., pass., m., nom., strong, infl.:ѹправленъ|sg., past, part., act., m., gen., strong, infl.:ѹправивъша
устраяти;131690;verb;3rd p., sg., pres., ind., act., infl.:оустраяеть|3rd p., pl., pres., ind., act., infl.:оустраꙗють
властель;131691;common noun;sg., m., gen., infl.:властелѧ|pl., m., dat., infl.:властелемъ
правьдивыи;131692;adjective;pl., m., nom., pos., strong, infl.:правьдиви|sg., m., nom., pos., strong, infl.:правьдивъ
отъдавати;131693;verb;pres., inf., act., infl.:ѿдавати
съгрѣшение;131694;common noun;pl., n., nom., infl.:согрѣшенья|sg., n., acc., infl.:согрѣшеньѥ,согрѣшение|pl., n., acc., infl.:согрѣшенья|sg., n., loc., infl.:согрѣшенїи|pl., n., dat., infl.:съгрѣшенїѧм,съгрѣшенїемъ
наводити;131695;verb;3rd p., sg., pres., ind., act., infl.:наводить,наводит|3rd p., sg., imperf., ind., act., infl.:наводѧше
уныи;131698;adjective;sg., m., nom., pos., strong, infl.:оунъ,ѹнъ|pl., m., gen., pos., weak, infl.:оуных|pl., m., nom., pos., weak, infl.:оунии|pl., m., nom., comp., weak, infl.:оунѣишии|pl., m., gen., comp., weak, infl.:юнеиших|sg., f., gen., pos., strong, infl.:ѹны
гусль;131699;common noun;pl., m., ins., infl.:гусльми|pl., m., acc., infl.:гусли,глусли|pl., m., nom., infl.:гѹсли
съвѣтьникъ;131701;common noun;pl., m., ins., infl.:свѣтнїкы|pl., m., nom., infl.:свѣтници|pl., m., gen., infl.:свѣтникъ,съвѣтниковъ|pl., m., acc., infl.:съвѣтьникы|sg., m., nom., infl.:съвѣтьникъ
крѣпькыи;131703;adjective;sg., m., gen., pos., weak, infl.:крѣпкаго|pl., m., nom., pos., strong, infl.:крѣпци|sg., n., acc., pos., strong, infl.:крѣпко|sg., f., nom., pos., strong, infl.:крѣпка|sg., m., acc., pos., strong, infl.:крѣпъкъ|sg., f., loc., pos., strong, infl.:крѣпъцѣ|sg., m., nom., pos., strong, infl.:крѣпъкъ,крѣпокъ|sg., n., nom., pos., strong, infl.:крѣпко|sg., f., acc., pos., strong, infl.:крѣпку|sg., n., acc., comp., weak, infl.:крепчає|sg., f., nom., comp., weak, infl.:крѣпчаишаѧ|sg., n., acc., pos., weak, infl.:крѣпкое
исполинъ;131704;common noun;sg., m., gen., infl.:исполина
съмирьныи;131705;adjective;sg., m., gen., pos., strong, infl.:смирена,смиренна|sg., m., nom., comp., weak/strong, infl.:смирнѣе
ругатель;131706;common noun;sg., m., gen., infl.:ругателѧ|pl., m., dat., infl.:ругателем|sg., m., nom., infl.:рѹгатель
кързно;131707;common noun;pl., n., acc., infl.:корзна
поромонъ;131708;adjective;sg., m., loc., pos., strong, infl.:поромони
рокомъ;131709;proper noun;sg., m., acc., infl.:рокомъ
позъвати;131710;verb;3rd p., sg., aor., ind., act., infl.:позва|sg., past, part., pass., m., nom., strong, infl.:позъванъ
обльстити;131711;verb;sg., past, part., act., m., nom., strong, infl.:ѡбльстивъ
сътужати;131713;verb;pl., pres., part., act., m., nom., weak, infl.:стужающии,сътужающии|pres., inf., act., infl.:стужати
въставати;131714;verb;sg., pres., part., act., m., nom., strong, infl.:воставаѧ|pres., inf., act., infl.:вставать
уньзнути;131715;verb;3rd p., pl., aor., ind., act., infl.:оуньзоша
оправьдити;131716;verb;3rd p., sg., pres., ind., act., infl.:ѡправдит|2nd p., pl., pres., imp., act., infl.:ѡправдите|sg., past, part., act., m., nom., strong, infl.:ѡправдивъ
ексапсалмъ;131717;common noun;sg., m., gen., infl.:ѡксапсалма
уньць;131718;common noun;pl., m., nom., infl.:оунци,уньци
осѣсти;131719;verb;3rd p., sg., aor., ind., act., infl.:ѡсѣде
гонити;131720;verb;pl., pres., part., act., m., gen., weak, infl.:гонѧщих|sg., pres., part., act., m., gen., weak, infl.:гонѧщаго,гонꙗщааго|sg., pres., part., pass., m., nom., strong, infl.:гонимъ,гоним|pl., pres., part., pass., m., nom., strong, infl.:гоними|1st p., pl., aor., ind., act., infl.:гонихом|sg., pres., part., act., m., nom., strong, infl.:гонѧ
канунъ;131721;common noun;sg., m., acc., infl.:канунъ,канонъ|sg., m., ins., infl.:канѹномъ,канономъ
пригвоздити;131722;verb;pres., inf., act., infl.:пригвоздити|3rd p., sg., aor., ind., act., infl.:пригвозди|1st p., pl., pres., imp., act., infl.:пригвоздимъ
възлещи;131726;verb;3rd p., sg., aor., ind., act., infl.:възлеже|sg., result., part., act., m., nom., strong, infl.:возлегъ|sg., past, part., act., m., dat., strong, infl.:возлегшу|3rd p., pl., pres., ind., act., infl.:възлꙗгѹть
одръ;131727;common noun;sg., m., loc., infl.:ѡдрѣ,одрѣ|pl., m., acc., infl.:ѡдры|sg., m., gen., infl.:ѡдра|sg., m., ins., infl.:одръмь
дивии;131728;adjective;pl., m., nom., pos., weak, infl.:дивии,дивїи|sg., m., nom., pos., weak, infl.:дивїй
насунути;131729;verb;3rd p., pl., aor., ind., act., infl.:насунуша
пробости;131730;verb;3rd p., pl., aor., ind., act., infl.:прободоша|1st p., pl., pres., ind., act., infl.:прободемъ|sg., past, part., pass., m., nom., strong, infl.:прободенъ|3rd p., sg., aor., ind., act., infl.:прободе|sg., past, part., pass., n., nom., strong, infl.:прободено|3rd p., du., aor., ind., act., infl.:прободоста
повелику;131731;adverb;non-infl.:повелику
прѣдъстояти;131732;verb;3rd p., sg., imperf., ind., act., infl.:предъстояше|3rd p., pl., pres., ind., act., infl.:предстоять,предстоѧт|2nd p., du., pres., ind., act., infl.:предъстоита|pl., pres., part., act., m., gen., weak, infl.:предстоящих|pres., inf., act., infl.:предъстоꙗти
усѣкнути;131753;verb;3rd p., pl., aor., ind., act., infl.:усѣкнуша
увьртѣти;131754;verb;pl., past, part., act., m., nom., strong, infl.:оувертѣвше|sg., past, part., pass., n., nom., strong, infl.:оуверчено
приконьчати;131756;verb;sup., acc., infl.:прикончатъ
извлѣщи;131757;verb;sg., past, part., act., m., nom., strong, infl.:извлекъ|3rd p., pl., aor., ind., act., infl.:извлекоша|3rd p., sg., aor., ind., act., infl.:извлече
проньзти;131758;verb;3rd p., sg., aor., ind., act., infl.:проньзе|3rd p., pl., pres., ind., act., infl.:пронзуть|3rd p., pl., aor., ind., act., infl.:проньзоша
причетати;131759;verb;sg., past, part., pass., m., nom., strong, infl.:причетъ|pres., inf., act., infl.:причетати
мученичьскыи;131760;adjective;pl., m., ins., pos., weak, infl.:мч҃нчьскыми|sg., m., ins., pos., weak, infl.:мч҃нчьскыимь
въдваряти;131761;verb;sg., pres., part., act., m., nom., strong, infl.:водварѧя|3rd p., pl., pres., ind., act., infl.:водварѧют
лоно;131762;common noun;sg., n., loc., infl.:лонѣ|sg., n., gen., infl.:лона|sg., n., acc., infl.:лоно
почивати;131763;verb;sg., pres., part., act., m., nom., strong, infl.:почивая|pl., pres., part., act., m., dat., weak, infl.:почивающим|3rd p., sg., pres., ind., act., infl.:почиваеть|1st p., sg., pres., ind., act., infl.:почиваю|3rd p., sg., imperf., ind., act., infl.:почиваше|3rd p., pl., pres., ind., act., infl.:почиють|3rd p., pl., imperf., ind., act., infl.:почивахꙋ
въспѣвати;131764;verb;sg., pres., part., act., m., nom., strong, infl.:въспѣвая|pl., pres., part., act., m., nom., strong, infl.:воспѣвающе
убиица;131765;common noun;pl., m., nom., infl.:оубиицѣ|sg., f., acc., infl.:ѹбиицю|sg., m., nom., infl.:убіица
акы;131766;relative adverb;non-infl.:акъ,акы
хула;131767;common noun;sg., f., acc., infl.:хулу,хѹлѹ
избытькъ;131787;common noun;sg., m., acc., infl.:избытокъ|sg., m., gen., infl.:избытъка,избытька
отъмьстьникъ;131789;common noun;sg., m., nom., infl.:ѿместьникъ,ѿместник
пролияти;131790;verb;3rd p., sg., aor., ind., act., infl.:пролья|3rd p., pl., aor., ind., act., infl.:прольяша|pres., inf., act., infl.:прольяти,пролиꙗти|pl., result., part., act., m., nom., strong, infl.:прольяли|sg., past, part., act., m., nom., strong, infl.:пролиꙗвъ|2nd p., sg., aor., ind., act., infl.:пролїѧ
грѣшьныи;131791;adjective;sg., m., gen., pos., weak, infl.:грѣшнаго,грѣш꙽наго|pl., m., acc., pos., weak, infl.:грѣшныя|sg., m., nom., pos., weak, infl.:грѣшныи,грѣшны̋,грѣшнои,грѣшьныи|pl., m., gen., pos., weak, infl.:грѣшных,грѣшныхъ|pl., m., nom., pos., strong, infl.:грѣшни|sg., m., gen., pos., strong, infl.:грѣшна|sg., m., nom., pos., strong, infl.:грѣшенъ,грѣшьнъ|sg., f., acc., pos., weak, infl.:грѣшную|pl., n., acc., pos., weak, infl.:грѣшные|sg., m., dat., pos., weak, infl.:грѣшному|sg., n., acc., pos., weak, infl.:грѣшное,грѣшьное
волынь;131799;proper noun;sg., m., dat., infl.:волыню|sg., m., acc., infl.:волынь
обаполъ;131800;adverb;non-infl.:ѡбаполы
буды;131801;proper noun;sg., m., nom., infl.:буды
укаряти;131802;verb;pres., inf., act., infl.:оукарѧти,оукорѧти,ѹкарѧти|3rd p., pl., imperf., ind., act., infl.:оукарѧху,ѹкарѧхѹть|sg., pres., part., act., m., gen., strong, infl.:оукарѧюща|2nd p., pl., pres., imp., act., infl.:оукарѧите|3rd p., pl., pres., ind., act., infl.:оукарѧютъ|3rd p., sg., pres., ind., act., infl.:оукорѧетъ|1st p., sg., pres., ind., act., infl.:укаряю|sg., pres., part., pass., m., dat., strong, infl.:ѹкарѧѥмѹ|pl., pres., part., act., m., nom., strong, infl.:ѹкарꙗюще|3rd p., sg., imperf., ind., act., infl.:ѹкарѧаше
трѣска;131803;common noun;sg., f., ins., infl.:трѣскою
черево;131804;common noun;sg., n., acc., infl.:черево|pl., n., loc., infl.:черевьях|sg., n., nom., infl.:черево|pl., n., gen., infl.:черевъ
тълстыи;131805;adjective;sg., n., acc., pos., weak, infl.:толъстое|pl., m., nom., pos., strong, infl.:толсты
укоръ;131806;common noun;sg., m., gen., infl.:оукора|sg., m., nom., infl.:оукоръ
въбрести;131807;verb;3rd p., sg., aor., ind., act., infl.:вбреде|3rd p., du., aor., ind., act., infl.:вбредоста
утягнути;131808;verb;3rd p., sg., aor., ind., act., infl.:оутѧгну
развести;131809;verb;2nd p., pl., pres., imp., act., infl.:разведѣте
покърмъ;131810;common noun;sg., m., acc., infl.:покоръмъ,покормъ
прибѣгнути;131811;verb;sg., past, part., act., m., dat., strong, infl.:прїбѣгшю|3rd p., pl., aor., ind., act., infl.:прибѣгоша|3rd p., sg., aor., ind., act., infl.:прибѣже|1st p., sg., pres., ind., act., infl.:прибѣгну|2nd p., sg., pres., imp., act., infl.:прибѣгни
расѣщи;131812;verb;3rd p., pl., aor., ind., act., infl.:расѣкоша,разʼсѣкоша|3rd p., sg., aor., ind., act., infl.:разʼсѣче
настасъ;131813;proper noun;sg., m., gen., infl.:настаса
десятиньныи;131814;adjective;pl., m., nom., pos., weak, infl.:десѧтьнии|sg., n., gen., pos., weak, infl.:десѧтиньнаго|sg., f., gen., pos., weak, infl.:десѧтиньныя|sg., f., acc., pos., weak, infl.:десѧтиньнѹю
въвѣрити;131815;verb;sg., result., part., act., m., nom., strong, infl.:ввѣрилъ|sg., past, part., act., m., dat., strong, infl.:ввѣрившю
чьрвеньскыи;131816;adjective;pl., m., acc., pos., weak, infl.:червеньскыя
законопрѣступьникъ;131826;common noun;pl., m., dat., infl.:законопреступником
тальць ;131827;proper noun;sg., m., nom., infl.:талець,Тальць
еловичь ;131828;proper noun;sg., m., nom., infl.:еловить,Еловичь
ляшько;131829;proper noun;sg., m., nom., infl.:лѧшько,Лꙗшько
сотона;131830;proper noun;sg., m., nom., infl.:сотона|sg., m., dat., infl.:сотанѣ
въистину;131832;adverb;non-infl.:воистину
помагати;131836;verb;3rd p., pl., pres., ind., act., infl.:помагають,помогают|pres., inf., act., infl.:помагати|2nd p., sg., pres., imp., act., infl.:помагаи,помогаи|pl., result., part., act., m., nom., strong, infl.:помогали|sg., result., part., act., f., nom., strong, infl.:помогала|sg., result., part., act., m., nom., strong, infl.:помогал|2nd p., pl., pres., imp., act., infl.:помогаите|sg., pres., part., act., m., dat., strong, infl.:помагающю,помагающȣ,помогающꙋ
заступати;131837;verb;3rd p., pl., pres., ind., act., infl.:заступають
завидѣти;131838;verb;pl., pres., part., act., m., nom., strong, infl.:завидѧще|2nd p., sg., pres., imp., act., infl.:завиди|pres., inf., act., infl.:завидѣти|3rd p., sg., imperf., ind., act., infl.:завидѧаше
худыи;131839;adjective;sg., m., nom., comp., strong, infl.:хужи,хуже|sg., m., nom., pos., weak, infl.:худыи|pl., m., nom., pos., strong, infl.:худи,хѹди|sg., m., dat., pos., strong, infl.:худу|pl., f., nom., pos., weak, infl.:худыя|sg., n., gen., pos., weak, infl.:худаго,хѹдово,хѹдаго|sg., m., gen., pos., weak, infl.:худаго,хѹдого|sg., m., nom., comp., weak, infl.:хужии|sg., n., acc., pos., weak, infl.:хѹдое|sg., n., nom., comp., strong, infl.:хуже|sg., n., acc., pos., strong, infl.:хѹдо,худо,хꙋдо|sg., f., gen., pos., weak, infl.:хѹдой|sg., f., acc., pos., weak, infl.:хѹдѹю|sg., m., dat., pos., weak, infl.:хѹдомѹ,худому|sg., f., nom., pos., weak, infl.:худая|sg., f., nom., pos., strong, infl.:хѹда|pl., m., acc., pos., weak, infl.:хѹдыꙗ|pl., f., ins., pos., weak, infl.:хѹдами|sg., f., loc., pos., weak, infl.:хѹдѣи|sg., f., loc., pos., strong, infl.:хѹдѣ|sg., n., acc., comp., strong, infl.:хоуждьши
неродие;131868;common noun;sg., n., ins., infl.:неронымъ
възлѣ;131869;preposition;non-infl.:възлѣ,возле,вʼзлѣ
хромьць;131870;common noun;sg., m., ins., infl.:хромьцемь|sg., m., nom., infl.:хромець
плотьникъ;131871;common noun;pl., m., nom., infl.:плотници,плотники|sg., m., nom., infl.:плотникъ
потяти;131873;verb;1st p., pl., pres., ind., act., infl.:потнемъ|3rd p., sg., pres., ind., act., infl.:пѡтнеть|sg., pres., part., act., m., nom., strong, infl.:потяня
заморозъ;131874;common noun;sg., m., acc., infl.:заморозъ
перевезти;131875;verb;1st p., pl., pres., ind., act., infl.:перевеземъ|3rd p., sg., aor., ind., act., infl.:перевезе|pl., result., part., act., m., nom., strong, infl.:перевезли
высѣсти;131876;verb;sg., past, part., act., m., nom., strong, infl.:высѣдъ|3rd p., sg., aor., ind., act., infl.:высѣде
въступити;131877;verb;3rd p., pl., aor., ind., act., infl.:въступиша|sg., result., part., act., m., nom., strong, infl.:вступль|3rd p., sg., aor., ind., act., infl.:вступи|1st p., sg., pres., ind., act., infl.:вʼстꙋплю
ледъ;131878;common noun;sg., m., acc., infl.:ледъ,лед|sg., m., nom., infl.:ледъ,лед|sg., m., loc., infl.:ледѹ,лѣте|sg., m., dat., infl.:лду|pl., m., nom., infl.:льды|sg., m., gen., infl.:льду
обломити;131879;verb;3rd p., sg., aor., ind., act., infl.:ѡбломи
одалати;131880;verb;3rd p., pl., imperf., ind., act., infl.:ѡдалаху|sg., pres., part., act., m., nom., strong, infl.:ѡдалая|pres., inf., act., infl.:ѡдалати
погорѣти;131882;verb;3rd p., sg., aor., ind., act., infl.:погорѣ|3rd p., pl., aor., ind., act., infl.:погорѣша
льто;131891;proper noun;sg., n., loc., infl.:льтѣ,Льтѣ|sg., n., acc., infl.:льто,Льто
въздѣти;131892;verb;sg., past, part., act., m., nom., strong, infl.:въздѣвъ,воздѣвʼ|1st p., sg., pres., ind., act., infl.:въздѣю|pres., inf., act., infl.:вздѣть|sg., result., part., act., m., nom., strong, infl.:вздѣлъ|sg., past, part., act., m., dat., strong, infl.:въздѣвъшю|pl., pres., part., act., m., nom., strong, infl.:въздѣюще
стенание;131893;common noun;sg., n., acc., infl.:стенанье|sg., n., ins., infl.:стенаньем
трясение;131894;common noun;sg., n., acc., infl.:трѧсенье,трꙗсенїѥ,трѧсенїе
летьскыи;131895;adjective;sg., n., acc., pos., weak, infl.:летьское,льтьскоѥ
пятъкъ;131896;common noun;sg., m., nom., infl.:пѧтокъ|sg., m., acc., infl.:пѧтокъ,пѧток,пятокъ,пꙗтъкъ,пѧ҃ткъ,пѧтъкъ|sg., m., gen., infl.:пѧтка,пѧтʼка|sg., n., acc., infl.:пѧк
съступати;131897;verb;3rd p., pl., aor., ind., act., infl.:сступаша,състѹпаша
трижьды;131898;adverb;non-infl.:трижды,тришьдꙑ
удолие;131899;common noun;sg., n., ins., infl.:ѹдольемь
носило;131900;common noun;pl., n., loc., infl.:носилѣхъ
берестие;131901;proper noun;sg., m., dat., infl.:бестою|sg., n., dat., infl.:берестию,берестью|sg., n., acc., infl.:берестие|sg., n., loc., infl.:берестьи
въсылати;131902;verb;3rd p., pl., imperf., ind., act., infl.:всылаху|1st p., pl., pres., ind., act., infl.:въсылаемъ,въсылаѥмъ,въсꙑлаемъ|sg., pres., part., act., m., nom., strong, infl.:возсылая|pres., inf., act., infl.:въсыпати
въслѣдъ;131903;preposition;non-infl.:вслѣдъ
немощь;131904;common noun;sg., f., loc., infl.:немощи|sg., f., nom., infl.:немощь|sg., f., gen., infl.:немощи|sg., f., acc., infl.:немощь
въсхопити;131905;verb;sg., past, part., act., m., nom., strong, infl.:въсхопивъ
осе;131906;interjection;non-infl.:ѡсе,осе
прибѣжати;131908;verb;3rd p., sg., aor., ind., act., infl.:прибѣжа|sg., past, part., act., m., nom., strong, infl.:прибѣжавъ|pl., result., part., act., m., nom., strong, infl.:прибѣжали|sg., result., part., act., m., nom., strong, infl.:прибѣжал
зълѣ;131909;adverb;non-infl.:злѣ,зълѣ,ѕлѣ
неправьдьныи;131910;adjective;sg., m., dat., pos., strong, infl.:неправедну|sg., n., gen., pos., weak, infl.:неправеднаго|sg., n., loc., pos., weak, infl.:неправедномъ,неправеднем,неправьдьнѣмь|sg., n., acc., pos., strong, infl.:неправено,неправьдьно|sg., n., ins., pos., weak, infl.:неправедным,неправеднымъ|sg., n., acc., pos., weak, infl.:неправедное|sg., m., loc., pos., weak, infl.:неправьдьнѣмь|sg., n., nom., pos., strong, infl.:неправьдьн
отъшьствие;131911;common noun;sg., n., loc., infl.:ѡшествии|sg., n., acc., infl.:ѿшьствиѥ,ѿшестʼвїе,ѿшествїе|sg., n., gen., infl.:ѿшествїа
пагубьныи;131912;adjective;sg., f., nom., pos., weak, infl.:пагубная,пагѹбьнаꙗ|sg., f., gen., pos., weak, infl.:пагубьноѣ
немилостивьно;131913;adverb;non-infl.:немїлостивно
въгънати;131914;verb;3rd p., sg., aor., ind., act., infl.:въгна|3rd p., sg., pres., ind., act., infl.:вженеть|3rd p., pl., aor., ind., act., infl.:въгнаша
вѣчьно;131915;adverb;non-infl.:вѣчно
ламехъ;131916;proper noun;sg., m., nom., infl.:ламехъ
мьщение;131917;common noun;sg., n., gen., infl.:мьщенья|sg., n., acc., infl.:мщенье,мщеньѥ
стыдѣти;131919;verb;3rd p., sg., pres., ind., act., infl.:стыдить
врѣдъ;131921;common noun;sg., m., acc., infl.:вредъ|sg., m., gen., infl.:вреда
касожьскыи ;131923;adjective;sg., m., nom., pos., weak, infl.:касожьскыи
редедя;131924;proper noun;sg., m., nom., infl.:редедѧ|sg., m., acc., infl.:редедю
язва;131925;common noun;sg., f., acc., infl.:язву,ꙗзву|sg., f., ins., infl.:язвою|sg., f., loc., infl.:язвѣ
еноховъ;131926;adjective;du., m., acc., pos., strong, infl.:енохова
прелюбодѣяние;131927;common noun;sg., n., gen., infl.:прелюбодѣянья|sg., n., acc., infl.:прелюбодѣянье
гедеоновъ;131928;adjective;pl., m., acc., pos., strong, infl.:гедеѡны
борьба;131929;common noun;sg., f., ins., infl.:борьбою|pl., f., nom., infl.:борьбы
надълзѣ ;131930;adverb;non-infl.:надолзѣ,надълзѣ
изнемагати;131931;verb;3rd p., pl., imperf., ind., act., infl.:изнемогаху,изнемагаху,изнемогахꙋ|pres., inf., act., infl.:изнемагати|sg., pres., part., act., m., dat., strong, infl.:изнемагающю|1st p., pl., pres., ind., act., infl.:изнемогаѥм
утрѣти;131932;verb;sg., past, part., act., m., nom., strong, infl.:оутеръ
потъ;131933;common noun;sg., m., gen., infl.:пота
брячиславъ;131934;proper noun;sg., m., nom., infl.:брѧчиславъ|sg., m., gen., infl.:брѧчислава|sg., m., acc., infl.:брѧчиславъ
судомирь;131935;proper noun;sg., f., dat., infl.:судомири
постигнути;131936;verb;3rd p., sg., aor., ind., act., infl.:постиже|1st p., pl., aor., ind., act., infl.:постигохом|3rd p., pl., aor., ind., act., infl.:постигоша|sg., result., part., act., f., nom., strong, infl.:постигла|pl., result., part., act., m., nom., strong, infl.:постигли
воротити;131937;verb;3rd p., sg., aor., ind., act., infl.:вороти|2nd p., sg., pres., imp., act., infl.:вороти|sup., acc., infl.:воротить|3rd p., sg., pres., ind., act., infl.:воротит,ворот,ворѡтить|3rd p., du., aor., ind., act., infl.:воротиста|3rd p., pl., aor., ind., act., infl.:воротиша|sg., result., part., act., m., nom., strong, infl.:воротилъ|sg., past, part., act., m., nom., strong, infl.:воротивь|pres., inf., act., infl.:воротитъ,воротити|3rd p., pl., pres., ind., act., infl.:ворѡтѧть
тъмуторокань;131951;proper noun;sg., f., loc., infl.:тмуторокани|sg., m., dat., infl.:тмутороканю,тьмутороканю,тмутороконю|sg., m., loc., infl.:тьмуторокани,тмуторокани|sg., m., gen., infl.:тъмутороканѧ,тъмутороконѧ
суждаль;131952;proper noun;sg., m., loc., infl.:суждали|sg., m., dat., infl.:суздалю,суждалю|sg., m., acc., infl.:суждаль|sg., m., gen., infl.:суждалѧ
научение;131953;common noun;sg., n., dat., infl.:наоущенью,наоученью,наѹченїю|sg., n., acc., infl.:наоущенье|sg., n., nom., infl.:наоученье,наѹченье|sg., n., ins., infl.:наоученьемь,научением|sg., n., gen., infl.:наоученья
бѣсование;131954;common noun;sg., n., dat., infl.:бѣсованью
гобино;131955;common noun;sg., n., acc., infl.:гобино|sg., n., nom., infl.:гобино
мятежь;131960;common noun;sg., m., nom., infl.:мѧтежь|sg., m., gen., infl.:мѧтежа|sg., m., acc., infl.:мѧтежь,мятеж
голодъ;131962;common noun;sg., m., nom., infl.:голодъ|sg., m., ins., infl.:го·лодомъ|sg., m., gen., infl.:голода,голоду
кыижьдо;131964;indefinite pronoun;sg., m., dat., infl.:коемуждо,комѹжьдо|sg., f., acc., infl.:куюждо|sg., m., gen., infl.:коегождо,когоджо|sg., m., nom., infl.:кїиждѡ,кїиждо
луда;131965;common noun;sg., f., nom., infl.:луда|sg., f., gen., infl.:луды|sg., f., loc., infl.:лудѣ
истъкати;131966;verb;sg., past, part., pass., f., nom., strong, infl.:истъкана
листвьнъ;131967;proper noun;sg., m., dat., infl.:листвену
крило;131968;proper noun;du., n., dat., infl.:крилома
громъ;131969;common noun;sg., m., nom., infl.:громъ
дъждь;131970;common noun;sg., m., nom., infl.:дождь,дъждь|sg., m., acc., infl.:дождь|sg., m., gen., infl.:ожа,дожжа,дождя|pl., m., nom., infl.:дожди|sg., m., dat., infl.:дъждю
посвѣтити;131971;verb;3rd p., sg., imperf., ind., act., infl.:посвѣтѧше
блистати;131972;verb;sg., pres., part., act., f., nom., strong, infl.:блистающи|3rd p., du., aor., ind., act., infl.:блистаста
гроза;131973;common noun;sg., f., nom., infl.:гроза|sg., f., loc., infl.:грозѣ|sg., f., ins., infl.:грозою|sg., f., acc., infl.:грозѹ
городьць;131978;proper noun;sg., m., gen., infl.:городьцѧ
устати;131979;verb;3rd p., sg., aor., ind., act., infl.:оуста|2nd p., sg., pres., ind., act., infl.:оустанешъ|pl., past, part., act., m., nom., strong, infl.:оуставши
